hello,hola,annyeong,barev,ciao
goodbye,adios,annyeonghi gaseyo,tstesutyun,arrivederci
thank you,gracias,gamsahamnida,shnorhakalutyun,grazie
yes,si,ne,ayo,si
no,no,aniyo,voch,no
please,por favor,jebal,khndrum em,per favore
sorry,lo siento,mianhamnida,neroghutyun,scusa
friend,amigo,chingu,ynker,amico
family,familia,gajok,yntanik,famiglia
mother,madre,eomeoni,mayr,madre
father,padre,abeoji,hayr,padre
brother,hermano,hyeong,yeghbayr,fratello
sister,hermana,nuna,kuyr,sorella
child,niño,ai,yerekha,bambino
baby,bebé,aeggi,manuk,neonato
school,escuela,hakgyo,dprots,scuola
teacher,profesor,seonsaengnim,usucich,insegnante
student,estudiante,haksaeng,usanokh,studente
book,libro,chaek,girk,libro
pen,bolígrafo,pen,grich,penna
paper,papel,jongyi,tught,carta
computer,computadora,keompyuteo,hamakargich,computer
phone,teléfono,jeonhwa,herrakhos,telefono
internet,internet,inteonet,hamatsants,internet
water,agua,mul,jur,acqua
food,comida,umsik,kerakur,cibo
bread,pan,bbang,hats,pane
rice,arroz,bap,brindz,riso
meat,carne,gogi,mis,carne
vegetable,verdura,chaeso,banjareghen,verdura
fruit,fruta,gwail,mirg,frutta
house,casa,jib,tun,casa
room,habitación,bang,senyak,stanza
door,puerta,mun,dur,porta
window,ventana,chang,patuhan,finestra
bed,cama,chimde,mahchakal,letto
chair,silla,uija,ator,sedia
table,mesa,chaeksang,seghan,tavolo
bathroom,baño,hwajangsil,logharan,bagno
kitchen,cocina,buok,khohanotz,cucina
dog,perro,gae,shun,cane
cat,gato,goyangi,katu,gatto
bird,pájaro,sae,trchun,uccello
fish,pez,mulgo,dzuk,pesce
tree,árbol,namu,tsar,albero
flower,flor,kkot,tsaghik,fiore
sun,sol,hae,arev,sole
moon,luna,dal,lusin,luna
star,estrella,byeol,astgh,stella
sky,cielo,haneul,yerkink,cielo
earth,tierra,ttang,hogh,terra
sea,mar,bada,tsov,mare
river,río,gang,get,fiume
mountain,montaña,san,ler,montagna
happy,feliz,haengbokhan,yerjanik,felice
sad,triste,seulpeun,txur,triste
angry,enojado,hwanan,barkatsats,arrabbiato
tired,cansado,jichin,hognats,stanco
sick,enfermo,arun,hivand,malato
healthy,saludable,geonganhan,aroghj,sano
big,grande,keun,mets,grande
small,pequeño,jageun,pokr,piccolo
tall,alto,kida,bardzr,alto
short,bajo,jakda,karch,basso
hot,caliente,tteugeoun,tak,caldo
cold,frío,chuun,sart,freddo
good,bueno,joh-eun,lav,buono
bad,malo,nappeun,vat,cattivo
new,nuevo,saeloun,nor,nuovo
old,viejo,oraedoen,hin,vecchio
young,joven,eolin,yertiasard,giovane
time,tiempo,sigan,zhamanak,tempo
hour,hora,sigan,zham,ora
minute,minuto,bun,rope,minuto
second,segundo,cho,vayrkyan,secondo
day,día,nal,or,giorno
week,semana,ju,shabat,settimana
month,mes,dal,amis,mese
year,año,nyeon,tari,anno
today,hoy,oneul,aysor,oggi
tomorrow,mañana,naeil,vagh,domani
yesterday,ayer,eoje,yerek,ieri
morning,mañana,achim,aravot,mattina
afternoon,tarde,ohu,kesorov,pomeriggio
evening,noche,jeonyeok,yerego,sera
night,noche,bam,gisher,notte
color,color,saek,guyn,colore
red,rojo,ppalgansaek,karmir,rosso
blue,azul,paransaek,kapuyt,blu
green,verde,choroksaek,kanach,verde
yellow,amarillo,noransaek,deghin,giallo
white,blanco,huinsaek,spitak,bianco
black,negro,keomsaek,sev,nero
number,número,beonho,tiv,numero
one,uno,hana,mek,uno
two,dos,dul,yerku,due
three,tres,set,yerek,tre
four,cuatro,net,chors,quattro
five,cinco,daseot,hing,cinque
zero,cero,yeong,zro,zero
ten,diez,yeol,tas,dieci
hundred,cien,baek,haryur,cento
thousand,mil,cheon,hazar,mille
love,amor,sarang,ser,amore
hate,odio,miwo,atelu,odio
think,pensar,saenggakhada,mtatel,pensare
know,saber,alda,gitenal,sapere
understand,entender,ihehada,haskanal,capire
speak,hablar,malhada,khosel,parlare
listen,escuchar,deulda,lsel,ascoltare
see,ver,boda,tesnel,vedere
hear,oír,deulda,lsel,sentire
feel,sentir,nekkida,zgal,sentire
touch,tocar,manjida,pchel,toccare
eat,comer,meokda,utel,mangiare
drink,beber,masida,khmel,bere
sleep,dormir,jada,knel,dormire
wake,despertar,kkaeuda,artnatnal,svegliarsi
walk,caminar,geotda,kaylel,camminare
run,correr,dalrida,vazel,correre
jump,saltar,tteuida,tsatkel,saltare
sit,sentarse,anjda,nstel,sedersi
stand,estar de pie,seoda,kangnel,stare in piedi
give,dar,juda,tal,dare
take,tomar,gajyeogada,vercnel,prendere
find,encontrar,chatda,gtnel,trovare
lose,perder,ilhda,kortsnel,perdere
open,abrir,yeolda,batsel,aprire
close,cerrar,dakda,pakel,chiudere
begin,comenzar,sijakhada,sksel,iniziare
end,terminar,kkeutnaeda,avart,finire
work,trabajar,ilhada,ashkhatel,lavorare
play,jugar,nolda,khaghal,giocare
rest,descansar,swida,hangstana,riposare
learn,aprender,baeuda,sovorel,imparare
teach,enseñar,gareuchida,sovorecsnel,insegnare
write,escribir,sseuda,grel,scrivere
read,leer,ilgeuda,kardal,leggere
money,dinero,don,dram,soldi
cost,costo,gagyeok,arzhek,costo
buy,comprar,sada,gnel,comprare
sell,vender,phalda,vakhacel,vendere
pay,pagar,jibulhada,vcharel,pagare
free,gratis,mupyo,anvachar,gratuito
expensive,caro,bissan,tank,costoso
cheap,barato,ssagada,ezhan,economico
car,coche,cha,mekhena,auto
bus,autobús,beoseu,avtobus,autobus
train,tren,gicha,gnack,treno
airplane,avión,bihaenggi,inknatir,aereo
bicycle,bicicleta,jajeongeo,hetsaniv,bicicletta
city,ciudad,dosi,kaghak,città
country,país,nara,yerkir,paese
home,hogar,jib,tun,casa
world,mundo,segye,ashkharh,mondo
